first_name,last_name,user_id,ssn,dob,address,state,country,employee_id,gender,start_date,end_date,home_phone,cell_phone,title,dept,marital_status,college,graduation_date
Bert,Jones,bjones,661-11-4228,1977-06-08,6124 Elvis Presley Blvd,TN,USA,5001,M,1996-09-02,,(665)898-9898,+1-967-676-9529,Software Eng.,Engineering,M,UMD,2001-12-24
David,Montgomery,DMontgomery,061-11-4228,1917-01-03,1546 Blake Prairie Suite 398,ME,USA,5001,M,1998-01-01,,(775)898-9898,+1-967-676-9529,Recruiter,Human Resources,M,PWF,2000-11-14
Angela,Fernandez,AFernandez,063-05-1229,1986-07-06,42036 Parrish Forges,IL,USA,5002,F,1998-01-01,,+1-007-372-3576x000,001-484-533-2115x0342,Recruiting Manager,Human Resources,M,BVR,2039-12-17
Gary,Brown,GBrown,377-53-2350,1992-03-27,67386 Thomas Plaza Suite 652,ID,USA,5003,M,1998-01-01,,(571)190-9916x832,001-672-413-1028x67655,Recruiter,Human Resources,S,TNI,2014-10-02
Russell,Lewis,RLewis,496-12-6368,1954-05-23,09597 Kayla Rapid,HI,USA,5004,M,1998-01-01,,1181198361,0589477846,Recruiting Manager,Human Resources,M,TIF,1999-12-15
Paul,Howard,PHoward,203-41-9106,2008-11-27,5504 Martinez Orchard,ND,USA,5005,M,1998-01-01,,770.587.0575x2422,+1-516-105-6755,Recruiting Manager,Human Resources,S,OJN,2010-02-05
Jacob,Ramsey,JRamsey,521-74-9646,1931-08-01,174 Laurie Radial,UT,USA,5006,M,1998-01-01,,001-586-842-3204x3764,295-859-1461x917,Director of HR,Human Resources,M,JNY,2011-09-19
Valerie,Rodriguez,VRodriguez,310-73-9786,1981-02-11,59602 Michelle Branch,NM,USA,5007,F,1998-01-01,,001-574-942-1203x17116,(155)413-0517,Softwarwe Eng.,Engineering,M,CLB,2022-01-17
Brendan,Lopez,BLopez,043-31-2588,1993-12-06,961 Lisa Rest Apt. 937,AZ,USA,5008,M,1998-01-01,,033.455.7308x2648,+1-822-992-3923x72864,Recruiter,Human Resources,S,ODU,2028-08-15
Kelly,Odonnell,KOdonnell,615-44-2900,1969-07-11,431 Miles Grove Suite 473,KY,USA,5009,F,1998-01-01,,(125)196-4137,973.457.6746x482,Director of HR,Human Resources,M,CXX,2040-02-02
Paige,Simmons,PSimmons,651-17-1123,1916-12-21,45445 Martin Light Suite 768,NE,USA,5010,F,1998-01-01,,578.897.5818x5537,(942)398-2057x591,Principal Eng.,Engineering,M,OUY,2032-05-21
Chad,Dickson,CDickson,525-04-3635,1923-04-29,13713 Jonathan Forges Suite 634,AZ,USA,5011,M,1998-01-01,,+1-197-912-2339,(444)777-0363x1125,Recruiting Manager,Human Resources,S,HVX,2041-01-28
