user_id,salary
DMontgomery,102268
AFernandez,104764
GBrown,187652
RLewis,134112
PHoward,122539
JRamsey,89963
VRodriguez,219048
BLopez,121115
KOdonnell,185994
PSimmons,236333
CDickson,224084
SAguilar,216271
GMacdonald,102428
JBerg,71714
JPierce,104585
EMartinez,92544
HFrederick,168907
ASullivan,105048
JBowen,170359
TWebb,210040
JHarper,118692
DMartin,168789
BRodriguez,105190
AHayes,79695
BDudley,116034
RParker,141032
DClark,192134
VMartinez,198217
JParker,96477
WWhite,178685
JOwen,92645
MCarter,86336
KHenderson,196846
HCarr,203002
MCain,226936
ACarroll,165089
RMoyer,117586
KFarmer,148670
AJones,198147
ESmith,97243
BHardy,237536
DAllen,193506
JThomas,223886
EJohnson,140150
HMurray,159330
JHorton,158766
JWalker,214136
JDaugherty,243901
WHouston,197591
JGray,246383
HReed,79210
DHolmes,126882
SSandoval,69400
MRivera,148328
AStone,107283
JBradley,133435
ELe,143128
SGalloway,146757
RCalhoun,107174
CRose,167778
MSmith,164010
MGiles,74889
JRobinson,229289
AYoung,111514
KWells,159601
JMoore,161247
AMcmillan,190892
ELozano,69095
HWest,170776
TJohnson,141525
ADaniel,106199
CGarcia,88719
CHenry,164045
ABrown,234339
DWilliams,188433
MThompson,155120
JJohnson,121892
RGreen,99522
WCook,227767
MOwens,208415
LBecker,167931
JKline,125421
AHill,140918
GFowler,226534
JFletcher,194896
MDavis,110345
KWilliamson,169055
JFisher,138943
KCamacho,164903
PLewis,75046
GSloan,130955
AWagner,88242
JWebb,73336
TJones,181791
TMarks,224633
OSosa,164282
CPeterson,95891
NBryant,234813
MNelson,68639
ARobbins,240648
WLucas,223639
ADavis,182858
SFitzgerald,157696
TRuiz,184387
JCox,111101
JSingleton,95786
RWeaver,158736
JMckinney,132001
SJohnson,225056
AOlson,201780
CRaymond,207348
SSanchez,153332
JCunningham,221187
CDavis,156603
MRobinson,143069
EHarris,126809
CGutierrez,180560
MKlein,244175
KCunningham,232540
PArnold,144119
JReed,168304
RNelson,84114
BMunoz,145027
LSanders,100195
LWall,153913
KWillis,236187
LHarper,246230
KSingh,128932
JGreen,177841
MRamirez,225747
AThomas,135262
MDoyle,234509
JLeonard,114459
CLee,243441
EWeaver,127008
SBoyd,229996
MKing,183938
MGlenn,78553
DTorres,210375
EMendoza,97141
TRoberts,88695
DMiller,104468
MHolt,73892
JOconnor,216470
NShields,217780
JSmith,131257
OBryant,161493
RAlvarado,196536
KMartinez,205521
DDeleon,216928
AManning,227410
GBarron,200684
MBaker,221773
CPerry,87959
RBennett,113421
JSexton,179105
BSchneider,84551
SJennings,249684
TBush,220257
ARichardson,203643
SRodriguez,66259
PGlenn,147563
DSmith,101081
ABenton,244244
LJacobs,95139
ARuiz,108666
KHernandez,157015
TAdams,238857
BThomas,157981
LMurphy,180649
JJones,148241
CAcevedo,88834
DRomero,173931
RCalhoun,108591
KTurner,72011
AGarcia,100230
WMartin,82244
KThomas,186346
BLynch,92150
ASpencer,94630
CGriffith,150024
JCrawford,197982
TCasey,165913
BAnderson,124425
AClark,138082
RPerez,76344
RPerez,101370
MPhelps,232888
JStevens,120277
JMitchell,150175
JCunningham,200834
JWhite,160929
AMason,149659
JYates,234825
MRamirez,85632
SFlores,212144
SHays,203995
CMacdonald,112925
TJuarez,99751
CLee,124237
SNorman,186844
DBurch,146030
RCamacho,142273
VPeterson,218630
EFitzgerald,152968
KAllen,68427
BWallace,101610
VGraham,204425
LJones,171980
JKelly,133910
ITran,94652
RStewart,184111
JBaker,165581
CHunter,109917
TFord,131349
LShepherd,198107
SHarris,178692
PSmith,72834
TRoman,100894
ABarker,156014
JCrane,178569
BLopez,74022
JThomas,182050
VHurst,151510
MMoore,176756
SBoyle,95640
EHess,168519
ARichardson,69237
AWilliams,114985
VPatterson,103435
AMiller,150980
RRamos,141016
AEstrada,157261
CLivingston,192436
GWilliams,102307
EAllison,234816
LWells,100929
THerrera,87740
ABrown,211743
MFletcher,220892
THernandez,79190
KCohen,79744
SMcdaniel,244259
JMiller,108177
JKim,188501
KWilliams,177680
ESmith,118886
WGray,202738
JFernandez,164976
JJackson,171878
KTorres,90138
GBradley,136756
THolt,203554
DJohnson,110321
MSchmitt,231062
JMoreno,131157
JOwens,65373
PPreston,105097
JBenitez,180653
RButler,101982
AJones,176698
SHerring,211063
RStevens,189630
BGonzalez,92065
APacheco,99601
DTravis,217251
AMarshall,175771
CParker,214278
NRodriguez,231041
MRivas,164344
KPennington,99924
JSmith,137726
LDiaz,244824
RAndrews,156298
TFisher,215376
RMoore,225345
KLucas,238603
BMartinez,227893
WCole,132112
ACole,187363
MGarcia,234104
AEvans,92030
JBarnes,221447
DCruz,129098
JWiley,112221
PBarber,227903
KMatthews,65493
JWest,111518
JWilliams,242908
CAcosta,115088
KFreeman,146055
ATorres,147303
BContreras,83598
MSilva,74966
DEnglish,135183
BStewart,217783
MWilson,228184
JStrickland,156204
MVilla,93484
DMartinez,247934
LClark,83179
EFoley,139653
JWalker,187405
CDavis,164996
AVillanueva,89473
WMoore,112275
JMoore,72352
KBender,79429
BBurke,192027
JByrd,240382
CHall,192407
KValdez,111212
KTran,114656
DZamora,70410
MWells,117779
PSanchez,85435
SWheeler,227724
AAcevedo,113607
EWallace,242828
LScott,94324
MContreras,185288
RUnderwood,222020
KObrien,89336
RBowers,182950
PPowell,217168
BTorres,86554
CFrancis,113037
SAguilar,121403
FJarvis,218962
MMays,111287
BFrench,246711
JHenderson,114283
HMurphy,230883
DKnight,246682
MReyes,165491
MBrown,136328
AOwens,137094
KHoffman,210475
CMueller,204915
LBrown,76875
RSchroeder,105354
RWhite,172826
MVasquez,112273
CGould,208312
DCarroll,159264
RMayo,211126
BTanner,235590
AOrtega,118552
JGarcia,202036
CRuiz,132080
LLynch,115496
BKing,83964
SRowe,140044
ACastaneda,77526
VNorman,180378
EHudson,166051
SHopkins,185723
CSilva,93116
MCrane,200230
JSanders,197950
SMccullough,222125
GHess,208519
SHenderson,79490
KCameron,235364
KHines,96082
LWeeks,210210
JWilson,172560
RGarcia,74043
SJones,101617
RStone,94230
WRice,116607
NStone,152602
KPerry,119429
JAllen,113806
SHubbard,184467
RRogers,212523
BWarren,134601
JMcknight,156910
MClark,162334
EHouston,83143
ARamirez,215186
JFoster,231323
JWilson,248874
NBeltran,163248
JMurphy,131244
MWilson,130368
JBoyle,84361
JNichols,211953
MPowell,96966
JCox,218249
KHernandez,114785
SHill,88823
EMartinez,216864
MHoward,239650
SRamos,241994
SBuchanan,187173
JFrancis,130295
SAllen,158515
JNewton,229765
ASims,93492
LSingh,102133
CPatton,95719
KKrueger,159305
GBrady,192391
AGarner,212593
CJohnson,142939
STurner,240967
AThomas,112585
SSchmidt,209233
DHaynes,119705
IKing,88317
JBurns,114124
MChambers,79741
GLewis,202046
DJones,165281
SGarcia,242452
PSullivan,94791
AMiller,245246
KSmith,146872
MEverett,193170
SWallace,185663
AMorgan,229750
JDeleon,179616
KManning,91914
CPena,166823
MWilliams,126562
EHicks,160269
SJackson,229523
PDunn,187141
DMartin,78922
JCannon,193857
GJames,213472
SKane,114251
RMoses,90618
JHawkins,94795
SWagner,141821
LGreen,76285
KWilson,239495
KHarris,91128
JWolfe,226125
NSmith,217616
JGonzalez,210576
KStokes,108335
TCastillo,116563
KPowell,207218
GMorton,223034
MMurphy,71003
MClark,106789
KRoberts,70189
CCurtis,191106
SHansen,77121
MHerrera,101564
DPatel,84114
DMills,235600
JSmith,190782
BMurphy,68690
NRuiz,212801
PCurtis,189027
DYoung,162100
AGreen,89412
GMoon,162780
VCraig,233045
SHarvey,91114
VParsons,133135
MNorton,235337
NCarroll,134519
KElliott,196531
KGordon,231354
KStein,114906
MGonzalez,160116
BGriffith,100854
LGuerrero,200950
TLeonard,99759
TDiaz,131067
HKnight,120620
DLynn,110340
CIngram,119815
CBrown,216759
JPorter,198910
LPatterson,67195
MHooper,72388
RWilcox,136848
JDuncan,72680
TFaulkner,199119
MWhite,169801
JYoung,186402
MHarvey,235376
AButler,245438
TMann,69357
SGarcia,158166
CSalas,219608
HWalton,207534
TCarr,248382
AWarren,85516
CSanders,138088
CLong,76577
JSanchez,201403
JJohnson,149934
PGillespie,98641
EHorne,244334
JLawrence,141581
AHoffman,124056
JAvila,106985
NPowell,136702
DJohnson,139855
RHernandez,180985
BHerman,160721
WRodriguez,78529
TBrooks,108556
MLarson,218911
AJuarez,129728
JMyers,211061
WSaunders,154287
TTaylor,215917
AZuniga,218787
SJones,168814
HWhite,138784
KCampbell,141338
IWelch,165743
